CODE,II1,II2,II3,II4,IM1,IM2,IM3,IM4,IM5,IS1,IS2,IS3,IS4,IC1,IC2,IC3,IC4,OI1,OI2,OI3,OI4,II,IM,IS,IC,OI,EC1,EC2,EC3,EC4,EC5,EC6,EC,INM1,INM2,INM3,INM4
97,5,4,4,4,2,3,3,3,3,3,2,3,4,3,3,3,3,4,3,3,4,4.250,2.800,3.000,3.000,3.500,3,3,3,3,4,4,3.333333333333330,3.00000,2.00000,2.00000,2.00000
98,3,2,3,3,3,3,3,4,3,3,3,3,3,3,4,2,4,3,2,3,4,2.750,3.200,3.000,3.250,3.000,2,2,3,2,3,4,2.666666666666670,2.00000,2.00000,2.00000,2.00000
99,5,4,3,5,3,3,3,4,4,5,4,5,4,3,4,3,5,4,3,4,4,4.250,3.400,4.500,3.750,3.750,4,4,4,4,5,5,4.333333333333330,5.00000,3.00000,3.00000,3.00000
100,3,3,3,3,2,3,3,3,4,4,2,3,3,4,4,3,4,4,4,4,3,3.000,3.000,3.000,3.750,3.750,3,2,3,3,4,4,3.166666666666670,3.00000,2.00000,3.00000,2.00000
101,3,3,3,3,3,2,3,3,2,4,4,4,4,4,4,4,4,4,3,4,5,3.000,2.600,4.000,4.000,4.000,2,3,3,3,4,4,3.166666666666670,3.00000,2.00000,2.00000,2.00000
102,4,4,3,5,3,4,5,4,4,4,3,3,3,4,3,4,3,4,5,4,4,4.000,4.000,3.250,3.500,4.250,4,4,4,4,5,5,4.333333333333330,4.00000,3.00000,3.00000,3.00000
103,3,4,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,3.750,3.600,3.750,3.250,3.000,3,3,3,3,4,4,3.333333333333330,4.00000,2.00000,3.00000,2.00000
104,3,2,3,3,3,3,4,4,4,3,2,3,3,3,3,3,3,3,3,3,4,2.750,3.600,2.750,3.000,3.250,3,2,3,3,3,4,3.000000000000000,3.00000,2.00000,2.00000,2.00000
105,3,4,4,4,2,3,3,3,3,4,3,4,3,3,3,3,3,3,2,3,2,3.750,2.800,3.500,3.000,2.500,2,2,2,2,3,3,2.333333333333330,3.00000,3.00000,2.00000,3.00000
106,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3.000,3.800,3.250,3.000,4.000,3,3,3,3,4,4,3.333333333333330,3.00000,3.00000,3.00000,3.00000
